Observed Value of ChemAHNet,Predicted Value of ChemAHNet,Observed Value of ChemAHNet-No MoIM,Predicted Value of ChemAHNet-No MoIM,Observed Value of ChemAHNet-No RCIM,Predicted Value of ChemAHNet-No RCIM,Observed Value of ChemAHNet-No MIM,Predicted Value of ChemAHNet-No MIM
-3.29,-1.9512315,-3.29,-2.420408,-3.29,-1.5326896,-3.29,-1.4484465
1.4499998,1.362884,1.4499998,1.476481,1.4499998,2.2007117,1.4499998,1.2224674
-3.68,-3.1783385,-3.68,-2.704423,-3.68,-2.8672447,-3.68,-0.6476805
1.96,1.3992548,1.96,2.002276,1.96,1.4230719,1.96,0.25333595
-2.3,-2.1374161,-2.3,-1.9091711,-2.3,-2.7404091,-2.3,-0.0758419
-0.98,-1.1710241,-0.98,-0.73920226,-0.98,-0.7484312,-0.98,0.8957615
-2.93,-2.6393993,-2.93,-2.6369817,-2.93,-2.8076332,-2.93,-1.9584868
2.06,1.9153652,2.06,1.2816324,2.06,2.2515712,2.06,-0.5884917
-0.56999993,-0.5349145,-0.56999993,-0.68174696,-0.56999993,-1.4579506,-0.56999993,-0.23802757
-0.03999996,-1.1865005,-0.03999996,-1.870157,-0.03999996,-1.8190062,-0.03999996,0.16118813
-2.1200001,-0.51645255,-2.1200001,-1.5638914,-2.1200001,-2.903224,-2.1200001,0.13715553
2.06,1.4974127,2.06,2.3709993,2.06,1.5343537,2.06,0.41126442
1.1799998,0.55149364,1.1799998,1.43333,1.1799998,-0.5568156,1.1799998,0.39684486
-2.98,-2.6233754,-2.98,-2.4556873,-2.98,-1.6104374,-2.98,-0.055929184
1.4100003,0.16025352,1.4100003,-1.9701896,1.4100003,0.5432148,1.4100003,-0.08559227
-1.8900001,-2.2748413,-1.8900001,-1.9190433,-1.8900001,-2.3394039,-1.8900001,-0.32413292
1,-0.50118256,1,-0.22154379,1,-2.4529305,1,1.1706944
1.5100002,1.6281691,1.5100002,1.5022302,1.5100002,1.4180641,1.5100002,0.80114174
-0.3000002,-0.39178562,-0.3000002,-0.12726259,-0.3000002,0.29004717,-0.3000002,-1.0549986
-2.3,-2.1458688,-2.3,-2.3587065,-2.3,-2.0482707,-2.3,-0.8987181
2.23,2.474317,2.23,3.0749688,2.23,2.4463763,2.23,0.3413639
2.17,1.7980447,2.17,1.3707929,2.17,2.3123713,2.17,0.6359348
2.9,2.2301335,2.9,3.250039,2.9,2.7403002,2.9,-0.058813095
-0.97,-0.6720433,-0.97,-1.3043537,-0.97,-1.3087461,-0.97,-0.69045854
1.96,-0.34259844,1.96,-1.4610918,1.96,0.19114208,1.96,0.7626209
1.19,1.2180996,1.19,-0.6565511,1.19,-0.2017498,1.19,0.057847977
-2.75,-2.5630114,-2.75,0.3584714,-2.75,-2.3679237,-2.75,-0.14024925
-1.6299999,-1.0069242,-1.6299999,-1.6190224,-1.6299999,-1.1501012,-1.6299999,-0.9388182
0.75,0.28471422,0.75,-0.1445489,0.75,-0.6304784,0.75,-0.4438839
-1.74,-1.7129166,-1.74,-1.6216462,-1.74,-1.3705139,-1.74,-1.5585845
-2.48,-2.764162,-2.48,-2.1868656,-2.48,-1.2722392,-2.48,-0.14175987
-0.9599998,-0.004943371,-0.9599998,0.18110323,-0.9599998,-0.040810585,-0.9599998,0.37397957
0.73,1.3379292,0.73,1.3822188,0.73,1.3610868,0.73,0.63126564
-1,-1.9321785,-1,0.21143007,-1,-2.7289658,-1,-0.9958098
-1.96,-1.9249446,-1.96,-1.6170914,-1.96,-1.8478932,-1.96,-1.5854323
-1.4100001,-1.8217568,-1.4100001,-0.17772579,-1.4100001,-2.3221617,-1.4100001,0.7463474
-2.0600002,-2.237709,-2.0600002,-2.1472397,-2.0600002,-2.4663308,-2.0600002,-2.8566191
0.46000004,0.2855487,0.46000004,0.51621914,0.46000004,0.0996356,0.46000004,-0.045080185
-3.08,-2.4568927,-3.08,-0.9863043,-3.08,-2.2362201,-3.08,-0.99045396
-0.46000004,-1.0954232,-0.46000004,-1.3046091,-0.46000004,-1.1039233,-0.46000004,-0.85724473
