Observed Value of ChemAHNet,Predicted Value of ChemAHNet,Observed Value of ChemAHNet-No MoIM,Predicted Value of ChemAHNet-No MoIM,Observed Value of ChemAHNet-No RCIM,Predicted Value of ChemAHNet-No RCIM,Observed Value of ChemAHNet-No MIM,Predicted Value of ChemAHNet-No MIM
-2.0900002,-2.2058477,-2.0900002,-2.3517985,-2.0900002,-2.2586925,-2.0900002,1.4682865
-2.9,-3.0639267,-2.9,-2.0038362,-2.9,-2.8951013,-2.9,-0.0045681
-1.81,-1.2776313,-1.81,-0.4577422,-1.81,-1.3803787,-1.81,-0.611357
-1.5799999,-2.4630423,-1.5799999,-2.3940167,-1.5799999,-2.2895608,-1.5799999,-2.213507
-1.96,-1.888468,-1.96,-2.246473,-1.96,-2.264941,-1.96,-0.5566313
0.77999973,0.23458719,0.77999973,0.1685257,0.77999973,-1.7666898,0.77999973,0.43522835
0,1.3094764,0,1.0211077,0,0.95408154,0,0.51034737
2.17,2.537251,2.17,0.31807184,2.17,2.8182526,2.17,0.6296177
-1.74,2.9692297,-1.74,2.265098,-1.74,1.9039412,-1.74,1.0527287
-2.3,-0.735425,-2.3,-1.4977715,-2.3,1.7472963,-2.3,0.43255043
-3.08,-2.7527823,-3.08,-2.4079428,-3.08,-2.573577,-3.08,-0.9862654
3.08,-2.4622927,3.08,-1.9956973,3.08,-0.2618513,3.08,0.3049717
-0.55999994,-0.55220866,-0.55999994,-1.2511053,-0.55999994,-0.75066257,-0.55999994,0.6830387
2.48,1.6088891,2.48,1.7758594,2.48,2.1335144,2.48,1.3084354
0.42000008,0.2657051,0.42000008,0.7552719,0.42000008,0.8489127,0.42000008,0.16132545
3.2900004,3.3807993,3.2900004,2.861908,3.2900004,2.6093545,3.2900004,1.4240665
-2.72,-2.8171048,-2.72,-2.7465224,-2.72,-2.9304893,-2.72,-0.32742882
0,0.36789513,0,0.21953964,0,0.91672516,0,1.0322666
1.8800001,0.37034655,1.8800001,0.45391273,1.8800001,0.13063765,1.8800001,0.4905033
1.4899998,1.1269379,1.4899998,1.6124573,1.4899998,1.6232824,1.4899998,0.4267826
-2.35,-1.3087635,-2.35,-1.740269,-2.35,0.7406063,-2.35,-0.12617302
-2.48,-1.2193382,-2.48,-0.5795369,-2.48,0.66707087,-2.48,0.09472084
-2.6,-2.735622,-2.6,-2.4425056,-2.6,-2.7135568,-2.6,-2.0323699
1.77,1.692255,1.77,1.3602982,1.77,1.4610744,1.77,1.1327915
-1.99,-1.3748884,-1.99,-1.3207469,-1.99,-1.572274,-1.99,1.021555
-1.6299999,1.3300276,-1.6299999,0.95757484,-1.6299999,1.4262285,-1.6299999,0.4536991
0,0.075274944,0,0.7192998,0,-1.0186338,0,0.17327309
-0.23000002,-0.2366724,-0.23000002,-0.06554079,-0.23000002,-0.33555412,-0.23000002,-0.057027817
3.6100006,2.8092122,3.6100006,3.5784645,3.6100006,2.9417968,3.6100006,1.5326939
2.6100001,1.9625354,2.6100001,2.1749287,2.6100001,2.0889573,2.6100001,1.9371281
-3.13,-2.698225,-3.13,-2.503501,-3.13,-2.6179953,-3.13,-0.63525224
1.4499998,1.5106745,1.4499998,1.9320974,1.4499998,1.2030973,1.4499998,1.2274113
1.0099998,-0.033554077,1.0099998,0.34949255,1.0099998,0.14963245,1.0099998,0.45747566
2.48,1.959702,2.48,1.6949973,2.48,1.6023369,2.48,0.11209297
-1.49,-1.0106843,-1.49,-0.5124986,-1.49,-1.3209431,-1.49,0.16242409
3.1999998,2.4454956,3.1999998,3.095624,3.1999998,3.1578827,3.1999998,0.36512184
0.25,0.09183693,0.25,0.64114094,0.25,0.15822506,0.25,0.67370033
2.7200003,2.2535381,2.7200003,1.7002988,2.7200003,2.5765653,2.7200003,1.0793705
3.13,2.076098,3.13,2.0094771,3.13,2.2676587,3.13,0.30236244
-1.6299999,1.5739994,-1.6299999,1.0615673,-1.6299999,1.6104975,-1.6299999,0.68503
1.8800001,2.3214984,1.8800001,1.5729856,1.8800001,1.7324977,1.8800001,1.494791
-0.28999996,-1.9715829,-0.28999996,-1.4564745,-0.28999996,0.66811657,-0.28999996,-0.09575462
-2.3,-1.6029782,-2.3,-1.512171,-2.3,-1.623987,-2.3,-1.508322
-2.0600002,-1.7001445,-2.0600002,-0.84700537,-2.0600002,-2.0329728,-2.0600002,0.35811806
-2.0600002,-1.8598998,-2.0600002,-1.573725,-2.0600002,-2.7340124,-2.0600002,0.15487099
2.7200003,3.0222073,2.7200003,2.9542327,2.7200003,2.931117,2.7200003,0.12218666
-0.5899999,-0.629262,-0.5899999,-0.6705487,-0.5899999,-1.1323371,-0.5899999,0.25621986
2.27,1.4427071,2.27,2.2345176,2.27,2.70087,2.27,1.7419834
-0.73,-1.662343,-0.73,-2.1452901,-0.73,0.5222788,-0.73,-1.3668044
-1.22,-1.0887425,-1.22,-1.4121811,-1.22,0.3015046,-1.22,-0.19930077
-1.45,-1.5267956,-1.45,-0.6404958,-1.45,0.6854725,-1.45,0.64170265
1.7399998,-0.30979443,1.7399998,-0.4268489,1.7399998,0.46663237,1.7399998,0.31403542
-0.2800002,-0.49689484,-0.2800002,-1.5012782,-0.2800002,-1.1932094,-0.2800002,-1.4406188
-2.77,-2.7201915,-2.77,-2.110708,-2.77,-2.4384599,-2.77,1.5288486
-1.24,-1.3982644,-1.24,-0.672703,-1.24,1.0750928,-1.24,-1.4134963
-0.5899999,-0.9602246,-0.5899999,-0.9929497,-0.5899999,-1.073801,-0.5899999,0.45445442
-0.76,0.5463066,-0.76,-0.38511276,-0.76,1.0055747,-0.76,1.0468235
-0.6700001,-1.2224863,-0.6700001,-0.62259007,-0.6700001,-0.9562161,-0.6700001,0.3855152
1.73,-0.4205842,1.73,0.8264003,1.73,-0.1863904,1.73,0.83059883
-0.80999994,-0.8009219,-0.80999994,-0.2529621,-0.80999994,-1.2796178,-0.80999994,-1.2557738
0.97999954,0.5816655,0.97999954,1.0605273,0.97999954,0.56634665,0.97999954,-0.09314537
-1.8800001,-1.8391559,-1.8800001,-1.9745054,-1.8800001,-1.8961937,-1.8800001,-0.1862545
-0.1500001,0.08171892,-0.1500001,0.38165426,-0.1500001,1.025609,-0.1500001,0.2639103
-0.5999999,-0.77664137,-0.5999999,-0.67575073,-0.5999999,-0.81203985,-0.5999999,-0.14629173
-1.8800001,0.25746775,-1.8800001,-0.64914465,-1.8800001,-0.53346014,-1.8800001,0.19449043
-1.6299999,-0.440032,-1.6299999,-0.5977113,-1.6299999,-0.57394314,-1.6299999,0.08153725
2.73,3.0890837,2.73,3.111218,2.73,2.6880798,2.73,3.2326908
0.30999994,-0.23678827,0.30999994,-0.3285246,0.30999994,-0.077858925,0.30999994,-1.6198332
-3.08,-2.1851914,-3.08,-2.1223679,-3.08,-0.67487764,-3.08,0.4415455
1.8100004,1.3012085,1.8100004,1.7421017,1.8100004,1.7243524,1.8100004,0.3578434
-2.9499998,0.6265054,-2.9499998,-2.440259,-2.9499998,-1.9514756,-2.9499998,1.4995975
1.1799998,1.4020529,1.1799998,1.785028,1.1799998,1.4428616,1.1799998,1.0118046
-0.89999986,-0.3953104,-0.89999986,-0.45467997,-0.89999986,-0.2886939,-0.89999986,0.0992527
1.1000004,1.29213,1.1000004,0.50426435,1.1000004,0.95856476,1.1000004,0.64348793
2.19,-3.223606,2.19,-3.1709402,2.19,-2.4961472,2.19,-0.26013756
2.2400002,2.0821304,2.2400002,1.6626549,2.2400002,1.75068,2.2400002,1.6914463
1.56,1.364389,1.56,1.155765,1.56,1.4159789,1.56,1.7702732
-0.059999943,0.095190525,-0.059999943,0.7137933,-0.059999943,1.7207699,-0.059999943,0.6034565
-0.77,-1.7438135,-0.77,-1.7252803,-0.77,-0.90842676,-0.77,0.19249916
0.9200001,0.9339223,0.9200001,0.8342962,0.9200001,0.93332386,0.9200001,0.52511024
-1.0699999,-1.1431205,-1.0699999,-0.93710136,-1.0699999,-0.6592305,-1.0699999,-0.6120436
1.5799999,1.4356308,1.5799999,1.0603466,1.5799999,2.4965615,1.5799999,0.2379551
2.7200003,2.7258825,2.7200003,2.7364407,2.7200003,2.4981875,2.7200003,0.52256966
4.46,4.570966,4.46,4.2018013,4.46,3.5550537,4.46,0.2450962
-1.96,-1.8704586,-1.96,-1.6174457,-1.96,-1.8788934,-1.96,-1.2728026
1.8800001,2.5148878,1.8800001,2.192706,1.8800001,2.330288,1.8800001,0.16393471
-0.61000013,-1.0291505,-0.61000013,-1.007541,-0.61000013,-0.589293,-0.61000013,-0.94980454
2.6799998,3.0060353,2.6799998,2.7990508,2.6799998,3.0379515,2.6799998,0.86582375
1.6599998,1.4422073,1.6599998,1.0585966,1.6599998,1.9394403,1.6599998,0.06196785
3.19,3.0086904,3.19,3.3450027,3.19,3.2900295,3.19,1.5046787
-2.85,-2.8881571,-2.85,-2.947927,-2.85,-2.995109,-2.85,0.8769474
-1.3699999,-0.7976923,-1.3699999,-0.8146076,-1.3699999,-0.3231063,-1.3699999,-1.4678099
2.02,2.508325,2.02,2.1155663,2.02,1.8615398,2.02,1.5690861
-1.0699999,-0.6047077,-1.0699999,-0.84575033,-1.0699999,-0.0699029,-1.0699999,-1.2957366
0,0.49556398,0,0.343163,0,0.6061225,0,0.7324772
0.40999985,0.95064354,0.40999985,2.191821,0.40999985,2.6528273,0.40999985,1.3389225
1.96,1.3092356,1.96,0.412086,1.96,-0.7839184,1.96,-0.7420943
2.48,2.0472627,2.48,2.09019,2.48,2.2199206,2.48,0.6311283
-0.76,-1.2673187,-0.76,-1.5811639,-0.76,-1.296412,-0.76,-1.1188567
2.6400003,2.3222017,2.6400003,1.9968643,2.6400003,2.4109173,2.6400003,0.37995338
2.06,1.8493261,2.06,2.3371944,2.06,1.975213,2.06,0.19297981
-1.3699999,-0.9507909,-1.3699999,-1.0624399,-1.3699999,-1.2355361,-1.3699999,-1.0377638
-2.4,-2.1108835,-2.4,-2.053522,-2.4,-2.7069938,-2.4,-0.1312542
-3.13,2.2631745,-3.13,3.6204948,-3.13,3.3847094,-3.13,0.51577187
-2.0600002,-2.4797695,-2.0600002,-1.2225101,-2.0600002,-3.2775419,-2.0600002,-1.5882475
4.09,3.4277725,4.09,3.4287734,4.09,3.4511847,4.09,-0.037801743
2.3000002,2.7579355,2.3000002,2.195025,2.3000002,2.7963457,2.3000002,1.0675602
-2.3,-2.6061656,-2.3,-2.2045493,-2.3,-2.4114199,-2.3,-0.58080125
3.08,-1.9250834,3.08,-1.8901963,3.08,-0.6188898,3.08,0.45383644
2.1100001,0.17471027,2.1100001,0.57756805,2.1100001,0.6835656,2.1100001,0.06615639
-1.1299999,-0.27024126,-1.1299999,-0.48750782,-1.1299999,-0.8633039,-1.1299999,-0.4217739
0.05000019,-0.834496,0.05000019,-0.59013104,0.05000019,-0.014388561,0.05000019,-0.8750975
0.6199999,-0.50752187,0.6199999,0.9449692,0.6199999,1.7381992,0.6199999,0.109140396
-2.98,-3.3373907,-2.98,-3.4768586,-2.98,-2.358472,-2.98,-0.913893
-1.3299999,-0.95943904,-1.3299999,-1.0587597,-1.3299999,-1.2081556,-1.3299999,-0.9105284
2.06,1.7742424,2.06,1.7530847,2.06,1.4435015,2.06,0.22449684
-1.8800001,0.99308825,-1.8800001,1.3883853,-1.8800001,2.1453762,-1.8800001,-0.028326035
3.13,2.0137253,3.13,1.0039287,3.13,0.34366465,3.13,0.084833145
-1.8800001,-0.9500172,-1.8800001,-1.7122834,-1.8800001,-2.9483855,-1.8800001,-0.837744
0.9000001,1.1950593,0.9000001,1.4650865,0.9000001,0.92867947,0.9000001,-0.0175457
-2.0600002,-1.6737602,-2.0600002,-1.9989171,-2.0600002,-1.6498342,-2.0600002,-0.9830382
2.92,-1.072432,2.92,-2.0447178,2.92,-1.8334413,2.92,0.19991493
-0.6500001,0.27994585,-0.6500001,0.19362497,-0.6500001,0.3539505,-0.6500001,0.3621006
-1.95,-1.3371108,-1.95,-1.8909159,-1.95,-1.9404035,-1.95,-1.5311186
0,0.46032238,0,1.13163,0,2.0105062,0,0.43886757
3.13,3.7602844,3.13,2.891838,3.13,2.8121367,3.13,-0.6934111
-3.85,-3.6227756,-3.85,-3.2517157,-3.85,-3.9097123,-3.85,-0.4169674
-0.13000011,0.4958887,-0.13000011,0.21649218,-0.13000011,-0.16737747,-0.13000011,0.8481083
1.8800001,1.3094759,1.8800001,1.0211086,1.8800001,0.95408154,1.8800001,0.5102787
2.48,2.3267612,2.48,1.7397094,2.48,1.9780369,2.48,0.7835636
-1.6299999,-1.7447402,-1.6299999,-1.7008405,-1.6299999,-1.3770676,-1.6299999,-1.571562
-1.0699999,-0.48563147,-1.0699999,-0.72921515,-1.0699999,-0.5637388,-1.0699999,-0.6262572
-0.2800002,-0.011597633,-0.2800002,-0.15270329,-0.2800002,-0.3835287,-0.2800002,-0.091085434
1.2400002,2.170477,1.2400002,1.6459951,1.2400002,0.6208563,1.2400002,-0.08435631
3.13,2.238958,3.13,2.0826015,3.13,1.5170922,3.13,1.5468388
-3.13,-2.7095923,-3.13,-2.0459788,-3.13,-1.9484875,-3.13,-1.0272582
2.06,2.1326265,2.06,2.8832874,2.06,2.1069946,2.06,0.45232582
-3.13,0.18135118,-3.13,0.223485,-3.13,-1.3624105,-3.13,-0.032857895
-0.6299999,-0.7544038,-0.6299999,-0.085886,-0.6299999,-0.5650382,-0.6299999,0.005113602
0.3499999,-0.8083861,0.3499999,0.11574936,0.3499999,-1.0588665,0.3499999,0.96476936
1.8100004,1.798624,1.8100004,1.9593725,1.8100004,1.8784661,1.8100004,0.13461494
-3.13,-2.7199376,-3.13,-2.4686418,-3.13,-2.5374033,-3.13,-1.0878203
0,1.5842471,0,1.2919779,0,1.84414,0,1.9314976
2.48,2.0088425,2.48,2.0767589,2.48,2.328012,2.48,0.26514626
1.3000002,-0.32067966,1.3000002,-1.0077872,1.3000002,-0.1403637,1.3000002,0.4177189
-2.3,-2.5572865,-2.3,-2.0102315,-2.3,-1.8751585,-2.3,-0.944998
-2.3,-2.2005367,-2.3,-1.4873645,-2.3,-2.7146363,-2.3,0.42904854
0.17999983,-0.1574359,0.17999983,0.27222013,0.17999983,-0.11614132,0.17999983,0.53692055
-0.70000005,-0.9350951,-0.70000005,-0.47514105,-0.70000005,-0.8528755,-0.70000005,0.36622047
3.13,2.3271546,3.13,2.4833384,3.13,3.4913473,3.13,0.9596882
0,-0.08498573,0,-0.25384855,0,0.14376259,0,-0.56802964
1.1000004,1.5565081,1.1000004,1.1982441,1.1000004,1.7421923,1.1000004,0.5819645
-2.3,-2.2562346,-2.3,-2.0741062,-2.3,-2.1846232,-2.3,0.002985001
1.5100002,1.3597388,1.5100002,0.9997201,1.5100002,1.6370883,1.5100002,0.06299782
1.6300001,1.3573208,1.6300001,1.5794544,1.6300001,1.4475164,1.6300001,0.56109047
0.6500001,0.34326935,0.6500001,1.4107094,0.6500001,-0.13161469,0.6500001,0.9627094
2.17,0.4121108,2.17,0.81413984,2.17,0.5669174,2.17,0.043771744
3.13,-0.091411114,3.13,-0.31370735,3.13,-0.8141084,3.13,0.5900669
-0.8399999,-1.7132068,-0.8399999,-1.6692865,-0.8399999,-0.5528414,-0.8399999,-1.6580107
-2.1699998,-2.8701148,-2.1699998,2.7043114,-2.1699998,2.177609,-2.1699998,0.87859535
-0.3800001,2.028551,-0.3800001,0.34718895,-0.3800001,2.5175753,-0.3800001,0.7236881
-0.1500001,-0.61728215,-0.1500001,-0.8572905,-0.1500001,0.4585557,-0.1500001,0.31472206
1.2700005,0.8324928,1.2700005,0.6118603,1.2700005,1.5574765,1.2700005,0.39945412
1.77,2.24724,1.77,1.6966801,1.77,1.9596529,1.77,2.9291935
-0.09000015,-0.9858,-0.09000015,-1.4299157,-0.09000015,-0.7321074,-0.09000015,0.91155434
2.7200003,3.0213976,2.7200003,2.362164,2.7200003,2.5313888,2.7200003,-0.097127914
-1.1800001,-2.1738973,-1.1800001,-1.5584855,-1.1800001,-2.5662756,-1.1800001,-0.79654527
1.8400002,1.6723576,1.8400002,1.8483086,1.8400002,1.825366,1.8400002,1.5033054
1.1700001,1.4246335,1.1700001,1.7469273,1.1700001,2.633749,1.1700001,1.1117802
0.73,-1.3986139,0.73,-0.7235048,0.73,-0.16701365,0.73,1.1781788
-1.1500001,-1.986548,-1.1500001,-1.7229791,-1.1500001,-1.950463,-1.1500001,-0.07515526
0.73,-0.111148834,0.73,-0.7081919,0.73,-1.6155615,0.73,0.12184334
2.7200003,2.1264215,2.7200003,1.0771093,2.7200003,2.10532,2.7200003,0.39245033
0.4500003,-0.086854935,0.4500003,0.70086336,0.4500003,0.6324744,0.4500003,0.7368717
0.77999973,-0.6635704,0.77999973,-0.8849845,0.77999973,0.5915966,0.77999973,-0.25258446
1.0500002,1.5319147,1.0500002,1.0725021,1.0500002,1.4231339,1.0500002,1.1712437
-0.58000016,-0.3196535,-0.58000016,-0.89849424,-0.58000016,-1.8876877,-0.58000016,0.48885536
-2.72,-0.6987109,-2.72,0.53568316,-2.72,-0.44366693,-2.72,0.47731972
1.6300001,1.6787138,1.6300001,0.9539366,1.6300001,1.6342487,1.6300001,-0.33031273
0.3699999,-0.09253979,0.3699999,-0.09436703,0.3699999,-0.48309278,0.3699999,0.16695595
-3.55,-3.3229623,-3.55,-2.8517256,-3.55,-3.9921844,-3.55,-0.49332237
-2.1699998,-0.5377631,-2.1699998,-0.7774043,-2.1699998,-0.44417572,-2.1699998,0.6026325
-2.69,-1.876512,-2.69,-1.2860434,-2.69,-0.6918354,-2.69,-1.0329573
3.13,-1.1125984,3.13,0.7395334,3.13,-1.325983,3.13,-0.08483696
1.3699999,1.0729303,1.3699999,1.2743044,1.3699999,0.9022403,1.3699999,0.37418556
-2.48,-1.1615028,-2.48,-0.29623127,-2.48,-1.6589015,-2.48,-1.0286314
1.56,1.4243555,1.56,1.8840046,1.56,1.5108476,1.56,0.792078
0.03999996,0.09097099,0.03999996,0.40834856,0.03999996,-0.4946561,0.03999996,0.08895302
1.6500001,1.906888,1.6500001,1.2717447,1.6500001,2.1575742,1.6500001,0.37240028
3.13,2.325467,3.13,2.7601395,3.13,2.1035795,3.13,0.5457096
-0.58000016,-1.0914009,-0.58000016,-0.5854931,-0.58000016,-1.274605,-0.58000016,1.0568485
0.059999943,0.75488806,0.059999943,0.8201537,0.059999943,1.4619265,0.059999943,-0.010473251
1.8800001,-1.1855869,1.8800001,-1.7982495,1.8800001,-1.3663981,1.8800001,-0.46393394
-2.72,-2.791376,-2.72,-2.3299272,-2.72,-2.2485092,-2.72,-0.4812374
2.7200003,-2.4484625,2.7200003,-1.6152279,2.7200003,-1.9163985,2.7200003,-1.290518
1.9900002,1.1647058,1.9900002,1.0822053,1.9900002,1.1978817,1.9900002,1.2469807
1.4499998,0.61750126,1.4499998,0.16818571,1.4499998,1.3054943,1.4499998,-0.093969345
2.1100001,1.7878771,2.1100001,1.7358451,2.1100001,2.1439495,2.1100001,0.40700722
-0.56999993,-0.55436707,-0.56999993,-1.1140146,-0.56999993,-0.830394,-0.56999993,-0.8071196
-1.8800001,-1.4096861,-1.8800001,-1.2551646,-1.8800001,-1.2712388,-1.8800001,0.37830544
-0.8599999,-0.85103893,-0.8599999,-1.7088108,-0.8599999,-1.4962113,-0.8599999,-0.7372191
2.04,-0.32742834,2.04,1.13449,2.04,-0.30921698,2.04,-1.3376219
2.13,1.7256784,2.13,1.7050986,2.13,2.0422487,2.13,1.0010242
0.14999962,2.333076,0.14999962,2.3407817,0.14999962,2.4632192,0.14999962,0.8064289
-0.48999977,-1.8012395,-0.48999977,-1.9064274,-0.48999977,-2.6247656,-0.48999977,-0.9829695
3.27,2.7215176,3.27,2.1643615,3.27,2.695891,3.27,1.8875523
0.17999983,-0.24991369,0.17999983,-0.033563137,0.17999983,0.54217386,0.17999983,0.055582047
-2.3,-2.4458783,-2.3,-2.065394,-2.3,-2.3853369,-2.3,-1.593878
1.5300002,-0.8590541,1.5300002,-0.89806795,1.5300002,-0.86775255,1.5300002,0.10749245
0.8200002,1.044002,0.8200002,0.97315264,0.8200002,1.1354704,0.8200002,1.2011814
-1.81,-2.2307205,-1.81,-2.3622873,-1.81,-2.4799745,-1.81,-1.2058547
2.17,2.0751705,2.17,2.1254754,2.17,2.2808614,2.17,0.52799416
3.13,2.8988805,3.13,2.2759204,3.13,2.9753585,3.13,0.88752174
-2.48,-2.521439,-2.48,-2.146829,-2.48,-2.1291895,-2.48,-1.5978606
2.7200003,1.3351631,2.7200003,1.2937016,2.7200003,1.1848187,2.7200003,0.60022926
0.19999981,0.25646257,0.19999981,-0.8006902,0.19999981,0.39378595,0.19999981,0.27654457
-1.1399999,-0.116387844,-1.1399999,1.1480322,-1.1399999,1.0368767,-1.1399999,-0.32674217
-2.73,-3.4135206,-2.73,-3.2726033,-2.73,-3.6090736,-2.73,-1.0025389
-2.71,-0.8507614,-2.71,0.7903991,-2.71,1.1630516,-2.71,0.022485733
-2.48,-1.3911331,-2.48,-2.1422951,-2.48,-1.280685,-2.48,-0.72513413
0,1.3682065,0,1.5278964,0,1.9550514,0,1.3828678
3.13,2.6435065,3.13,2.3966336,3.13,2.569995,3.13,2.283884
-1.0999999,-1.9763293,-1.0999999,-1.7483006,-1.0999999,-2.222242,-1.0999999,-1.4321043
-1.81,-1.8799427,-1.81,-1.7691994,-1.81,-2.6267633,-1.81,-1.5427916
0.48000002,0.5066757,0.48000002,-0.6514461,0.48000002,-0.015402317,0.48000002,-0.8943236
-0.9100001,-0.3622818,-0.9100001,-0.08094406,-0.9100001,0.7950187,-0.9100001,-0.33237267
-1,-1.8988404,-1,-1.0147576,-1,-0.6918278,-1,-1.2933333
-2.3,-1.2861629,-2.3,-1.8970504,-2.3,-0.77778625,-2.3,0.8400059
-2.21,-2.3300636,-2.21,-1.8353498,-2.21,-1.6071968,-2.21,0.17114449
-3.44,-2.907829,-3.44,-2.5541248,-3.44,-2.678288,-3.44,-1.8115447
-2.35,-2.2002292,-2.35,-1.6523051,-2.35,-2.0078351,-2.35,-2.0160277
2.17,2.8201995,2.17,1.5177937,2.17,0.027040005,2.17,0.88807106
-1.6099999,-1.5306578,-1.6099999,-1.3374438,-1.6099999,-1.4224992,-1.6099999,-0.87811875
2.48,2.2191715,2.48,0.8352971,2.48,0.7185273,2.48,0.39574623
0.77,0.4853449,0.77,-0.5098505,0.77,0.84654284,0.77,-0.08655357
1.1799998,-1.0345697,1.1799998,-1.2766063,1.1799998,-0.29410362,1.1799998,-0.6241286
2.48,2.8272414,2.48,2.1636634,2.48,2.4148974,2.48,0.65097237
-1.6800001,-2.4374545,-1.6800001,-0.54949903,-1.6800001,2.1059198,-1.6800001,0.598032
-0.6200001,-0.6445687,-0.6200001,-0.48702192,-0.6200001,-0.44987917,-0.6200001,0.35399818
0.28999996,-0.29679108,0.28999996,-0.10215473,0.28999996,-0.1799326,0.28999996,0.53884315
1.4899998,0.5601263,1.4899998,-0.74229574,1.4899998,0.48939896,1.4899998,-0.76695085
-0.32999992,-0.35309744,-0.32999992,-1.8517308,-0.32999992,0.38937807,-0.32999992,-1.0223143
-0.53,-1.121397,-0.53,-0.46258974,-0.53,-0.76497984,-0.53,-0.3563366
-0.5899999,-0.55505633,-0.5899999,-0.636055,-0.5899999,-0.93478036,-0.5899999,0.019601822
-2.35,-1.9887109,-2.35,-1.7748742,-2.35,-1.9861369,-2.35,-0.011434555
-0.6500001,-0.30055904,-0.6500001,0.14205074,-0.6500001,0.045365334,-0.6500001,-0.2220974
2.42,1.481411,2.42,1.6188698,2.42,2.67982,2.42,1.05163
1.4000001,0.9155512,1.4000001,2.2266064,1.4000001,0.66115856,1.4000001,0.68125343
0.88999987,0.91626024,0.88999987,0.85282516,0.88999987,-0.42662144,0.88999987,0.09375954
1.5799999,-0.42703772,1.5799999,-1.0893414,1.5799999,-1.8149447,1.5799999,-0.77704453
2.17,2.1774197,2.17,2.347714,2.17,2.53934,2.17,-1.2420409
2.27,1.0601029,2.27,0.93541193,2.27,0.94072914,2.27,0.43158913
2.3000002,1.0461845,2.3000002,-0.180017,2.3000002,0.56422997,2.3000002,0.41353035
-2.04,-2.4176044,-2.04,-1.9751649,-2.04,-2.0782692,-2.04,-1.8042662
-2.72,-2.6793125,-2.72,-2.8533773,-2.72,-2.7524998,-2.72,-1.1768782
0.25,0.43262815,0.25,0.92507315,0.25,0.5861101,0.25,-0.05331993
-0.72,-0.5117693,-0.72,-1.7623973,-0.72,-0.22831917,-0.72,-1.1986449
-2.1699998,-2.5359492,-2.1699998,-0.78954005,-2.1699998,-1.4298024,-2.1699998,0.48679543
1.0299997,1.303009,1.0299997,1.4620342,1.0299997,-0.37423992,1.0299997,0.13015175
2.3000002,1.9851003,2.3000002,1.0010986,2.3000002,2.586729,2.3000002,0.98900795
3.13,3.05124,3.13,2.9096427,3.13,3.0255222,3.13,1.905405
-1.74,0.598825,-1.74,0.653759,-1.74,0.5667639,-1.74,0.16880989
1.5300002,1.4312544,1.5300002,1.7040868,1.5300002,0.9369626,1.5300002,0.24344826
0,0.8858571,0,1.1679525,0,0.97514105,0,0.79084206
0.48000002,1.6355639,0.48000002,1.9937139,0.48000002,1.1274996,0.48000002,-0.20506859
1.4499998,0.49744081,1.4499998,0.5263691,1.4499998,1.1583595,1.4499998,-0.02599144
1.1000004,0.69050217,1.1000004,-0.8981943,1.1000004,0.17035818,1.1000004,0.8281956
2.06,1.1552496,2.06,-0.076954365,2.06,1.0143247,2.06,0.23369789
-2.8600001,-2.7348554,-2.8600001,-2.647909,-2.8600001,0.09882927,-2.8600001,-1.788748
1.3000002,0.5440073,1.3000002,1.5559788,1.3000002,0.267807,1.3000002,0.8873844
-0.010000229,-0.27162266,-0.010000229,-0.47712803,-0.010000229,0.24871731,-0.010000229,-0.5276549
1.0899997,2.230877,1.0899997,0.25971222,1.0899997,0.6783385,1.0899997,0.21069527
-2.3,-2.4633434,-2.3,-2.1105328,-2.3,-2.4425516,-2.3,-1.2539885
-2.1699998,-2.2012517,-2.1699998,-1.851109,-2.1699998,-1.712136,-2.1699998,-1.4139769
1.3699999,0.9395757,1.3699999,-0.9095106,1.3699999,-0.25545788,1.3699999,1.2219181
-0.17000008,-0.55027795,-0.17000008,-0.68127346,-0.17000008,-0.6609237,-0.17000008,0.003671646
1.2400002,1.1683197,1.2400002,0.34816933,1.2400002,1.3077612,1.2400002,-0.0543499
1.2700005,1.2163601,1.2700005,1.3715286,1.2700005,1.0163636,1.2700005,0.5889683
-2.3,-2.0806983,-2.3,-2.2293515,-2.3,-2.1567326,-2.3,-0.092321396
0.9200001,0.93392086,0.9200001,0.8342962,0.9200001,0.93332386,0.9200001,0.5253849
-2.48,-2.0490086,-2.48,-0.9277828,-2.48,-1.5375597,-2.48,-0.7825377
1.2099996,-1.361212,1.2099996,-1.2866743,1.2099996,-1.0165722,1.2099996,-0.14697838
-3.4,-3.0243182,-3.4,-2.8398428,-3.4,-2.175709,-3.4,-2.4473784
2.54,2.1159248,2.54,2.4746408,2.54,2.3649716,2.54,0.015481949
0,-1.2077157,0,-1.865468,0,-0.6103678,0,-1.3050749
2.46,2.4581065,2.46,3.3401875,2.46,2.6175408,2.46,0.39437294
-0.70000005,-0.3082881,-0.70000005,-1.0329936,-0.70000005,-0.7505846,-0.70000005,-0.6905272
-0.5,-2.0323143,-0.5,-1.7225041,-0.5,-2.7749436,-0.5,-1.366873
-0.03999996,-1.3658919,-0.03999996,-1.2452447,-0.03999996,-1.7679646,-0.03999996,-0.41531944
-1.8800001,-2.165287,-1.8800001,-1.8521366,-1.8800001,-2.2481937,-1.8800001,-1.3458617
3.0299997,2.8628063,3.0299997,2.579514,3.0299997,2.8682098,3.0299997,1.6961155
