Observed Value1,Predicted Value1
0.5890022,0.65106684
1.3701036,1.2949522
0.44637358,0.26402074
0.6826014,0.6132484
-0.047400236,0.080197245
1.5318029,1.556247
0.34072298,0.32067394
0.53023446,0.7210012
1.1257224,1.2408245
1.0749905,1.1458919
0.7155457,0.5631368
0.61940867,0.5301495
0.41937774,0.4063961
0.02369064,-0.026500285
1.3011672,1.309597
1.3011672,1.2718692
0.50175846,0.50381696
1.7436576,1.849766
0.7846032,0.5740857
0.8209451,0.7851166
1.2381091,1.2458985
1.3348231,1.6417398
1.1257224,1.2733922
1.7436576,1.4099452
0.1669085,0.2896043
0.7495107,0.92809635
1.2381091,1.2504122
0.19114208,0.24514306
1.4463253,1.4510691
-0.023690611,0.035692006
0.21553546,0.2690884
0.14281297,0.08776462
0.19114208,0.17167515
1.3701036,1.8893158
1.3011672,1.3003182
1.4463253,1.2152624
1.2381091,1.2479608
1.8820012,1.7186975
1.2381091,1.3263211
1.1257224,1.4610214
1.5318029,1.8498118
0.8979607,1.2640836
1.4463253,1.4086294
1.1257224,1.236393
1.3011672,1.277283
1.3011672,1.2394264
1.2381091,1.3779187
0.50175846,0.7422505
0.50175846,0.6934287
1.3011672,1.1775136
0.19114208,0.14026982
-0.21553543,-0.32406282
1.3701036,1.3554866
0.5890022,0.71934587
1.1798906,1.1172736
2.304684,1.8239124
1.1257224,1.2949727
3.1346245,2.8074355
1.0749905,1.2110732
1.1257224,1.0557137
1.3011672,1.4401729
1.3011672,1.3849285
1.809159,1.8007236
1.7436576,1.9186177
3.1346245,2.735023
0.53023446,0.46181804
1.3011672,1.252711
3.1346245,2.4711423
0.14281297,-0.017104596
1.3011672,1.3695734
-0.118834496,0.009235501
-0.3151717,-0.042409956
-0.047400236,0.1524331
0.7495107,1.0236742
1.2381091,1.1794984
0.7846032,0.7249628
0.53023446,0.6727889
1.2381091,1.0846419
-0.24011102,-0.14089465
0.50175846,0.5938131
1.7436576,1.6165178
1.2381091,1.2699549
0.7495107,0.25685877
-0.24011102,-0.37626013
1.3011672,1.2884009
1.1798906,1.2284658
1.1257224,1.2065499
-0.07114786,-0.21210353
1.4463253,1.5043826
0.9389873,0.8070598
0.118834496,0.3001833
0.41937774,0.32633156
2.0584993,2.751195
0.02369064,0.1770708
2.304684,1.9683535
1.1257224,1.2123554
0.7495107,0.7311241
2.7211688,3.0223863
0.61940867,0.74772686
2.304684,3.0567882
1.4463253,1.4404912
1.3011672,1.2273128
0.50175846,0.57420945
0.392794,0.46818572
0.44637358,0.4347831
1.4877539,1.2643936
-0.1669085,-0.27417403
1.4463253,1.9746392
2.0584993,2.6032834
1.0749905,1.2147892
0.5592976,0.53690857
0.19114208,0.23315507
1.1257224,1.3056269
1.2381091,1.2443001
1.1257224,1.1608815
0.7155457,0.6362371
0.26489234,0.19066107
1.0749905,0.6996977
0.26489234,0.30819017
1.0749905,1.204195
1.2381091,1.3947356
0.047400236,0.06861928
2.0584993,2.5965717
0.5592976,0.6736247
1.3701036,1.2450757
0.5592976,0.82793516
0.6826014,0.8129378
0.50175846,0.6473393
0.9819805,1.0265698
1.2381091,1.2494662
1.7436576,1.7421348
0.09495276,0.086446345
1.3701036,1.5098789
0.34072298,0.20521152
1.1798906,1.1522963
0.6826014,0.46273637
0.8209451,0.8907507
0.5592976,0.5311351
0.7155457,0.5691059
0.7495107,0.6227023
1.3701036,1.2906971
2.304684,2.405845
1.2381091,1.4875653
1.0272076,1.0934663
1.3701036,1.3373139
0.8209451,0.66581327
0.24011105,0.38242894
0.3665868,0.35651487
1.1798906,1.1281893
1.1798906,1.4367774
1.0272076,1.1763976
0.14281297,0.08044699
